gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_group,services_count,has_internet,avg_charge_per_month
Female,0,Yes,No,42,No,No phone service,DSL,No,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),99.96,4198.32,loyal,1,1,99.96
Female,0,No,No,13,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),52.63,684.19,mid,3,1,52.63
Male,1,Yes,Yes,57,Yes,Yes,No,Yes,No,Yes,Yes,No internet service,Yes,One year,Yes,Electronic check,83.58,4764.06,loyal,4,0,83.58000000000001
Male,0,Yes,No,66,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No,Yes,One year,No,Credit card (automatic),73.44,4847.04,loyal,1,1,73.44
Female,1,No,No,24,Yes,No,DSL,Yes,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,87.09,2090.16,mid,4,1,87.08999999999999
Female,0,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),70.76,1061.4,mid,3,1,70.76
Female,1,No,Yes,71,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,81.0,5751.0,loyal,4,0,81.0
Male,0,Yes,No,47,Yes,Yes,DSL,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,No,Mailed check,40.1,1884.7,loyal,2,1,40.1
Male,0,No,No,52,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,48.05,2498.6,loyal,3,1,48.05
Male,0,No,No,8,No,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Mailed check,83.32,666.56,new,2,1,83.32
Male,1,No,No,55,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,61.73,3395.15,loyal,2,1,61.730000000000004
Female,1,No,No,44,No,Yes,DSL,Yes,No,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),68.46,3012.24,loyal,3,1,68.46
Female,0,No,No,51,Yes,No,Fiber optic,No,No internet service,No,No,No,No,One year,Yes,Bank transfer (automatic),57.18,2916.18,loyal,0,1,57.18
Male,0,Yes,No,60,No,Yes,No,Yes,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,98.39,5903.4,loyal,2,0,98.39
Male,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,One year,Yes,Mailed check,90.82,1543.94,mid,2,1,90.82000000000001
Female,0,No,Yes,10,Yes,No,DSL,Yes,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Electronic check,53.02,530.2,new,3,1,53.02
Female,0,No,Yes,31,Yes,No,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),61.68,1912.08,mid,4,1,61.68
Female,1,No,No,48,No,No,No,No internet service,No,No,No,No internet service,No,One year,Yes,Bank transfer (automatic),79.01,3792.48,loyal,0,0,79.01
Male,0,No,No,44,Yes,No,No,No,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),86.56,3808.64,loyal,2,0,86.56
Female,1,No,Yes,60,Yes,No,No,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),95.41,5724.6,loyal,2,0,95.41000000000001
Female,0,Yes,No,58,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),57.04,3308.32,loyal,2,1,57.040000000000006
Female,0,No,No,61,Yes,No,DSL,No,Yes,No,No,No internet service,No,One year,Yes,Electronic check,60.45,3687.45,loyal,1,1,60.449999999999996
Male,1,No,No,67,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No,No,Month-to-month,Yes,Electronic check,59.91,4013.97,loyal,2,1,59.91
Female,0,Yes,No,45,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No,One year,No,Credit card (automatic),52.66,2369.7,loyal,1,1,52.66
Male,0,Yes,Yes,52,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,Yes,No internet service,One year,No,Bank transfer (automatic),71.77,3732.04,loyal,1,1,71.77
Female,1,Yes,No,36,Yes,No,No,Yes,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),65.76,2367.36,mid,3,0,65.76
Male,1,No,Yes,68,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),70.62,4802.16,loyal,3,1,70.62
